|  n |   x[n]   |   xq[n] |  xe[n]  |  dec |
| 0  |  0,0000  | 0,0625  | -0,0625  | 8  |
| 1  |  0,8660  | 0,8125  | 0,0535  | 14  |
| 2  |  -0,8660  | -0,8125  | -0,0535  | 1  |
| 3  |  0,0000  | 0,0625  | -0,0625  | 8  |
| 4  |  0,8660  | 0,8125  | 0,0535  | 14  |
| 5  |  -0,8660  | -0,8125  | -0,0535  | 1  |
| 6  |  0,0000  | 0,0625  | -0,0625  | 8  |
| 7  |  0,8660  | 0,8125  | 0,0535  | 14  |
| 8  |  -0,8660  | -0,8125  | -0,0535  | 1  |
| 9  |  0,0000  | 0,0625  | -0,0625  | 8  |
| 10  |  0,8660  | 0,8125  | 0,0535  | 14  |
| 11  |  -0,8660  | -0,8125  | -0,0535  | 1  |
| 12  |  0,0000  | 0,0625  | -0,0625  | 8  |
| 13  |  0,8660  | 0,8125  | 0,0535  | 14  |
| 14  |  -0,8660  | -0,8125  | -0,0535  | 1  |
| 15  |  0,0000  | 0,0625  | -0,0625  | 8  |
